warehouse_id,vending_machine_id,sku_group_id,calc_direct_refill
6,570,14961,100
6,609,32054,44
6,622,14966,196
6,665,2053,59
6,668,14506,32
6,669,6324,35
6,569,14970,21
6,610,14964,175
6,630,14989,246
6,620,14963,154
6,647,6379,5
6,581,14970,107
6,623,15024,46
6,650,32052,73
6,665,6693,33
6,653,32117,3
6,645,19472,6
6,654,32117,29
6,581,17112,47
6,576,32117,24
6,618,33852,4
6,3719,6507,61
6,2168,14964,891
6,1892,15023,197
6,4000,34758,35
6,570,2013,155
6,633,19644,21
6,594,24819,28
6,2168,30444,190
6,629,34755,23
6,639,6389,192
6,648,6324,43
6,581,6985,69
6,588,33852,33
6,611,24819,61
6,618,14912,48
6,596,33852,10
6,2190,33851,107
6,646,7165,26
6,2168,1999,32
6,1477,15393,44
6,609,22244,41
6,609,15024,224
6,611,14506,40
6,666,6389,48
6,1066,6389,14
6,630,23137,211
6,654,14967,209
6,645,33204,10
6,645,6613,66
6,603,14507,27
6,603,30445,82
6,2168,22242,41
6,611,15393,187
6,639,2013,1
6,879,22245,5
6,621,33852,17
6,599,1636,128
6,582,33854,33
6,4270,24960,26
6,654,22245,23
6,623,17110,18
6,2245,2013,36
6,579,14506,2
6,611,14967,84
6,609,33852,131
6,609,15395,205
6,641,14910,14
6,626,14506,70
6,4274,35373,23
6,2168,14506,95
6,602,14821,7
6,630,20059,60
6,2549,1713,10
6,654,34753,39
6,620,14959,54
6,627,33852,36
6,2551,21465,40
6,614,24960,18
6,4088,30445,91
6,630,14821,25
6,946,14967,53
6,4710,19472,7
6,634,32117,15
6,942,14910,10
6,593,15021,93
6,628,15021,53
6,2168,15658,254
6,606,32053,4
6,629,21468,57
6,4540,15024,71
6,627,6452,30
6,667,6507,134
6,579,32117,17
6,639,2258,27
6,2242,33852,132
6,4001,2236,40
6,640,6507,181
6,581,25602,27
6,599,1890,251
6,588,14964,355
6,4538,17976,222
6,2244,34755,1
6,599,1645,90
6,1628,17976,343
6,646,19472,10
6,4538,14822,10
6,651,14926,64
6,611,21466,29
6,654,35329,28
6,2168,33854,68
6,667,21465,63
6,598,14966,210
6,635,32117,45
6,608,23133,211
6,573,21466,13
6,606,15023,106
6,569,23098,98
6,593,14506,11
6,594,1645,25
6,669,6423,42
6,944,24819,25
6,654,19472,29
6,4088,15394,96
6,620,1707,9
6,2245,2258,40
6,634,14506,21
6,568,30444,191
6,608,14962,104
6,639,15023,227
6,942,6423,49
6,4538,1636,29
6,619,14964,50
6,654,6319,121
6,1892,30443,41
6,573,14506,20
6,634,19472,32
6,4274,35328,15
6,579,1703,101
6,599,2097,240
6,949,2097,10
6,4088,17976,72
6,598,34754,9
6,581,30442,82
6,601,17976,95
6,641,7091,9
6,674,19472,19
6,2550,15658,136
6,629,14963,135
6,653,14963,220
6,599,14961,194
6,2551,1707,121
6,634,7091,23
6,616,7150,49
6,618,14966,398
6,632,6512,71
6,630,14962,105
6,654,2258,37
6,620,6512,95
6,2547,2053,14
6,650,2258,48
15,1740,30891,10
6,2190,17976,876
6,632,6620,10
6,4004,19644,1
6,586,33851,3
6,651,15023,142
6,1477,17976,230
6,668,2511,47
6,588,15007,19
6,2168,32117,86
6,579,33854,29
6,675,1707,4
6,618,14533,21
6,2190,2511,349
6,593,15394,61
6,2549,15658,264
6,641,7150,36
6,626,1703,123
6,2541,36437,66
6,570,7150,77
6,2168,30447,195
6,2245,15658,97
6,2541,2097,73
6,593,30445,51
6,622,38622,2
6,2541,15658,111
6,634,34753,45
6,4878,14920,76
6,4878,17976,172
6,635,34758,79
6,583,14922,57
6,879,15620,10
6,5207,7144,64
1,5441,13060,0
6,581,1839,35
6,2168,14968,255
6,4538,2235,20
6,638,15393,66
6,617,15395,49
6,2244,19644,34
6,634,6999,15
6,4620,1636,12
6,949,38623,10
6,2168,2449,5
6,645,7150,23
6,594,15024,292
6,5479,6512,72
6,4003,17976,180
6,1628,2511,165
6,948,15658,122
6,599,7165,194
6,620,35375,30
8,527,11427,0
6,5482,14919,48
6,2242,1709,2
6,642,14823,48
6,597,7091,17
6,2550,24819,87
6,4710,1636,35
8,1699,39832,0
6,628,2097,95
6,624,35375,13
6,604,15007,5
6,2190,36437,111
6,634,1703,153
9,1158,34083,0
6,639,2216,50
6,945,15024,9
6,639,6507,179
8,1248,36498,0
6,2168,7165,205
6,2242,6319,123
6,4970,7144,61
6,588,2097,53
9,851,37098,0
3,3031,24204,0
6,593,6309,5
6,944,6265,85
6,672,14823,17
15,1280,22280,4
13,4046,29651,14
6,639,6459,99
15,2621,25094,0
6,588,35921,127
6,621,15024,221
6,621,23099,118
6,593,15658,33
6,565,36437,46
6,1628,1890,154
15,4761,18471,0
6,615,36563,5
8,5429,37493,0
6,1628,2053,71
6,608,30442,110
6,5206,6427,27
6,599,38623,43
6,1628,14823,61
5,1564,8042,0
6,608,20059,72
1,5526,39828,0
6,1628,14964,251
6,599,7150,153
66,1635,37025,0
6,654,7165,100
6,5479,40779,13
6,5481,6309,97
6,4878,6462,49
6,640,6319,148
5,4646,8042,0
8,1248,39832,0
8,1258,36301,0
6,1815,1636,54
5,5062,37039,0
6,641,6423,53
6,4000,38621,34
6,637,19569,58
13,826,29650,0
13,1083,41106,0
6,598,35375,6
6,4088,14920,78
6,949,1645,14
6,635,38621,118
6,663,19569,47
4,2932,30188,0
6,616,14821,21
17,1499,41067,0
6,594,23099,173
1,929,38745,0
