warehouse_id,vending_machine_id,manufacturer_variant_id,sales
1,3777,34396,57
1,5826,39812,0
1,4163,14172,6
1,4086,23548,80
1,3531,37832,42
1,4164,24838,6
1,4626,24746,20
1,5956,27207,1
1,3656,22926,21
1,4209,18106,12
1,3777,23638,140
1,5964,39893,0
1,3844,34697,55
1,3844,24838,57
1,3150,28229,20
1,915,33772,2
1,4011,32555,80
1,4324,30820,25
1,3156,17415,2
1,3927,36637,28
1,3159,12823,4
1,4118,32179,7
1,3201,22926,16
1,4013,23151,10
1,3205,20854,29
1,915,41567,29
1,4053,26060,16
1,3321,30820,66
1,5023,36036,8
1,4118,32599,22
1,5802,36088,24
1,2729,21851,42
1,5835,41962,10
1,2101,22944,5
1,4799,41964,14
1,3392,36305,8
1,5976,43345,6
1,1118,19311,78
1,4102,32555,162
1,1137,21463,95
1,4204,23260,38
1,5437,40661,15
1,3797,26060,0
1,1285,15110,52
1,4205,19502,18
1,4118,33527,11
1,5981,26061,18
1,4678,36488,4
1,5139,22944,18
1,4118,20523,4
1,3148,39001,4
1,2011,14172,63
1,3155,44117,11
1,3131,13786,15
1,6002,15110,48
1,4799,34434,28
1,401,20852,80
1,5471,18105,22
1,1579,38749,2
1,3651,12417,180
1,5310,36636,6
1,6117,18105,19
1,3392,33528,49
1,3993,13743,98
1,4489,16037,69
1,3993,36424,6
1,4201,25448,5
1,3993,36632,63
1,4203,23639,56
1,3993,23639,54
1,4203,23638,92
1,3993,12792,10
1,4205,34434,11
1,4118,30485,82
1,4205,20852,13
1,2101,21463,150
1,3392,20854,89
1,3688,37490,33
1,4550,26061,60
1,2127,21463,74
1,3408,12854,85
1,2127,18581,62
1,3420,13743,85
1,4921,24841,10
1,4550,20523,9
1,3284,21851,19
1,4421,22124,47
1,2206,18581,55
1,4519,24866,44
1,1459,20851,4
1,3585,17417,8
1,1579,37045,4
1,4576,20785,11
1,1931,42000,7
1,4228,16037,59
1,6117,42779,8
1,4576,33528,11
1,3801,34006,52
1,2009,33770,856
1,4200,13060,4
1,2127,14167,12
1,1934,20851,18
1,5548,22944,6
1,3993,30484,60
1,3663,20823,5
1,4012,39001,1
1,2198,40663,15
1,6117,33772,8
1,3671,13135,60
1,2062,20851,18
1,3696,17417,7
1,6117,43640,30
1,4888,23639,106
1,3159,30191,38
1,4798,36632,162
1,3402,26061,32
1,3721,22921,3
1,4163,34006,102
1,2403,24746,4
1,4041,38049,121
1,2602,36036,2
1,4041,13135,58
1,5586,37490,12
1,4322,33770,21
1,2798,30191,59
1,3285,41567,106
1,3158,35326,13
1,3351,33768,13
1,4900,36637,15
1,3400,42000,89
1,3747,13060,1
1,2064,14167,6
1,3748,33339,3
1,2081,22556,21
1,5626,30485,15
1,3509,22944,5
1,5626,28229,70
1,3651,38244,81
1,2207,20778,13
1,3748,21463,64
1,2216,36632,3
1,4719,35326,50
1,61,34396,55
1,4052,20852,191
1,2500,36631,21
1,4052,15430,44
1,929,34824,1
1,3650,37044,10
1,1119,34697,7
1,92,33525,39
1,3844,25610,282
1,179,13060,6
1,5735,30485,31
1,521,17952,16
1,3873,20523,21
1,564,33527,53
1,5784,18105,6
1,3777,40664,13
1,5792,36632,28
1,3797,21463,26
1,5801,41954,11
1,4064,40664,17
1,2653,41968,3
1,4164,34351,21
1,4086,28229,550
1,5562,39814,1
1,94,25452,7
1,5586,36635,6
1,2647,13743,5
1,3727,21851,17
1,1630,12485,12
1,4164,41964,9
1,4320,23639,369
1,3927,12795,12
1,4320,23638,291
1,4201,42000,25
1,2676,18106,19
1,4324,33768,5
1,4324,14017,37
1,4102,12327,209
1,4086,19501,161
1,4102,38049,30
1,4007,20785,21
1,4103,12327,116
1,4007,20523,35
1,4103,23639,180
1,1843,13060,5
1,4106,13743,28
1,1782,29903,1
1,4106,24865,12
1,2796,24843,22
1,5586,25610,15
1,5308,39001,6
1,5588,40660,16
1,2798,37273,56
1,1830,13953,164
1,4086,20854,31
1,4489,18581,16
1,1641,30485,37
1,5128,26061,21
1,2403,24838,3
1,1830,12633,1067
1,1724,36488,10
1,4626,12793,32
1,2025,12823,3
1,1830,19238,1620
1,4086,20823,11
1,1830,18556,206
1,1917,30820,27
1,1830,12670,59
1,5563,35326,53
1,5534,23639,8
1,1970,40662,24
1,5560,12793,10
1,5571,39001,13
1,1830,13848,366
1,2061,23638,201
1,5792,23260,8
1,5586,24841,2
1,4421,32348,3
1,2197,20519,11
1,4163,38049,203
1,1483,25609,10
1,4164,38049,245
1,2207,25609,47
1,1483,36636,4
1,5693,24843,9
1,4204,36486,11
1,3844,36425,12
1,4204,20852,120
1,1931,36636,9
1,4204,14167,30
1,2037,13743,23
1,4799,41842,19
1,4086,12441,35
1,1830,31322,3
1,2207,33770,6
1,5846,41267,9
1,4086,33527,182
1,1830,33634,15
1,2489,26061,84
1,1830,12853,235
1,50,12441,57
1,3081,24746,8
1,89,12854,35
1,1830,23868,114
1,2500,38244,77
1,4875,21463,17
1,89,33770,32
1,1894,33020,7
1,5702,37832,95
1,1835,32598,14
1,3322,43634,33
1,1932,24184,12
1,2729,36088,9
1,4203,20519,14
1,2795,15209,22
1,4203,20845,62
1,4426,20852,37
1,4203,37045,12
1,3393,22944,21
1,4205,23639,11
1,3660,25451,1
1,4205,20848,36
1,3660,21851,22
1,4209,22556,5
1,4421,36509,4
1,2280,34397,3
1,2798,42000,63
1,4228,20852,90
1,2818,28229,33
1,4229,34006,41
1,90,24866,39
1,4229,36641,16
1,402,25452,22
1,655,17951,23
1,4875,34397,15
1,4548,34411,5
1,3124,37491,12
1,789,18083,1
1,3801,44117,6
1,1835,13848,68
1,4969,24841,1
1,5938,41968,3
1,5023,14167,10
1,1843,19432,93
1,5283,36635,9
1,1843,33527,135
1,521,33525,24
1,896,33023,9
1,5324,16037,124
1,1843,33529,57
1,564,33528,6
1,1843,33528,45
1,3158,18106,48
1,915,13060,13
1,68,36087,75
1,1843,12327,445
1,3280,22124,30
1,1844,32597,53
1,4519,20848,234
1,1844,32599,52
1,4519,20845,125
1,1844,27815,9
1,4519,25610,139
1,3805,21820,28
1,4201,33772,19
1,90,14167,37
1,3873,42779,5
1,6143,12327,57
1,4320,42778,5
1,6143,43634,40
1,3902,15209,43
1,4773,33527,66
1,1843,20850,14
1,1844,24865,11
1,4086,41967,3
1,1245,28229,45
1,4900,43638,8
1,5040,15110,15
1,4086,41966,25
1,4589,36486,8
1,4086,40660,26
1,3777,30191,26
1,3053,13060,3
1,4798,34006,159
1,4203,34697,0
1,1844,14172,22
1,4548,37832,235
1,1844,15058,14
1,4549,19500,52
1,4519,36305,9
1,4204,31091,20
1,6143,30484,98
1,4209,14017,42
