warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
1,5174,0,0
1,5420,0,0
1,5516,0,0
1,5520,0,0
1,10978,0,0
1,11055,0,3
1,12229,479,25
1,12305,747,39
1,12319,2118,112
1,12327,2137,113
1,12444,0,3
1,12604,1491,79
1,12631,0,0
1,12670,237,13
1,12717,140,7
1,12793,2250,118
1,12794,366,19
1,12823,186,10
1,12854,2202,116
1,13135,2995,176
1,13151,0,0
1,13152,150,8
1,13155,0,0
1,13156,174,9
1,13158,1029,54
1,13250,0,3
1,13324,1038,55
1,13330,285,15
1,13345,477,25
1,13622,121,6
1,13728,0,0
1,13743,2366,125
1,13744,3243,193
1,13745,128,7
1,13786,2166,114
1,13813,1604,84
1,13897,0,0
1,13946,1619,85
1,13954,283,15
1,13975,0,3
1,14011,148,8
1,14015,215,11
1,14017,2656,140
1,14040,0,4
1,14133,824,43
1,14136,249,13
1,14138,1780,94
1,14167,1001,53
1,14174,647,34
1,14175,1123,59
1,14692,1804,95
1,14693,1537,81
1,14769,219,12
1,14770,192,10
1,15037,1028,54
1,15110,23,1
1,15290,0,0
1,15292,0,0
1,15303,0,2
1,15304,0,3
1,15305,0,0
1,15307,0,0
1,15308,0,0
1,15314,0,0
1,15316,0,0
1,15317,0,0
1,15318,0,3
1,15320,0,3
1,15323,0,0
1,15430,655,35
1,15437,0,0
1,15495,0,2
1,15739,175,9
1,15749,0,0
1,15751,134,7
1,15984,446,24
1,15985,1163,61
1,15986,0,4
1,16037,1821,96
1,16340,325,17
1,16359,466,25
1,17369,2431,153
1,17400,1049,55
1,17414,367,19
1,17415,247,13
1,17416,0,5
1,17417,203,11
1,17579,0,1
1,17590,0,0
1,17611,507,27
1,17621,0,3
1,17624,0,0
1,17626,0,0
1,17703,381,20
1,17729,429,23
1,18082,0,2
1,18083,179,9
1,18087,690,36
1,18105,2652,140
1,18106,2187,115
1,18292,376,20
1,18316,694,37
1,18317,812,43
1,18341,0,0
1,18556,1328,70
1,18581,1576,83
1,19055,397,21
1,19311,619,33
1,19432,887,47
1,19434,2032,107
1,19435,1238,65
1,19500,3180,190
1,19501,4172,231
1,19502,3583,201
1,19718,890,47
1,19808,1869,98
1,20391,0,0
1,20439,2231,117
1,20519,2750,145
1,20523,2352,149
1,20622,332,18
1,20784,759,40
1,20811,204,11
1,20823,1520,80
1,20846,812,43
1,20848,2540,149
1,20849,840,44
1,20850,2834,162
1,20851,4426,239
1,20852,1725,91
1,20853,1300,68
1,20854,1241,65
1,20855,363,19
1,20897,0,0
1,21406,113,6
1,21690,400,21
1,21694,1709,90
1,21695,633,33
1,21785,3726,209
1,21786,523,28
1,21791,797,42
1,21834,386,20
