warehouse_id,vending_machine_id,sku_group_id,extra,remove,expiry
1,5038,4,0,3,0
3,5227,4,0,8,0
1,4229,4,0,0,0
3,1491,4,0,36,0
74,5539,4,0,2,0
3,3341,4,0,8,0
3,3708,4,2,36,0
1,4717,4,0,0,0
3,1463,4,0,66,0
1,655,4,0,0,0
9,920,4,0,1,0
3,2429,4,0,134,0
3,2347,4,0,7,0
1,6556,4,0,0,0
3,3340,4,0,5,0
1,4033,4,0,136,0
1,4969,4,0,0,0
3,3810,4,0,0,0
3,5386,4,5,5,0
3,1179,4,0,13,0
3,1263,4,0,29,0
3,5922,4,0,1,0
1,3398,4,0,1,0
1,255,4,0,1,0
3,4437,4,0,23,0
12,4584,4,0,1,0
1,4889,4,0,1,0
3,3743,4,0,182,0
1,1124,4,0,7,0
3,3925,4,0,24,0
3,2193,4,0,319,0
3,2095,4,4,111,0
1,3652,4,0,29,0
1,521,4,0,0,0
1,3654,4,0,87,0
3,4260,4,0,8,0
1,1670,4,0,1,0
1,4489,4,0,0,0
3,2471,4,0,0,0
3,2194,4,0,14,0
1,3655,4,0,85,0
1,5453,4,0,11,0
3,5731,4,0,9,0
1,3653,4,0,72,0
3,5750,4,0,5,0
9,918,4,0,0,0
1,3651,4,0,378,0
3,2598,4,0,17,0
3,6167,4,0,4,0
3,1034,4,0,26,0
3,3295,4,0,66,0
1,3656,4,0,92,0
1,4200,4,0,0,0
1,6208,4,0,1,0
3,6168,4,0,3,0
1,4968,4,0,0,0
3,3003,4,0,29,0
3,5746,4,0,2,0
1,5802,4,0,0,0
3,6011,4,0,15,0
3,3032,4,0,3,0
3,3995,4,0,17,0
3,6611,4,0,6,0
1,4563,4,0,0,0
3,5748,4,0,3,0
3,4564,4,0,18,0
1,1782,4,0,0,0
3,1077,4,0,28,0
3,3407,4,0,25,0
3,5921,4,0,1,0
1,5179,4,7,31,14
1,3664,4,0,1,0
1,3081,4,0,0,0
3,5323,4,0,8,0
52,5406,4,0,33,0
1,92,4,0,0,0
74,5920,4,0,4,0
1,4228,4,0,4,0
3,5537,4,0,16,0
1,5178,4,0,1,0
3,3017,4,0,5,0
1,6553,4,0,0,0
1,4030,4,0,150,0
3,4946,4,0,4,0
3,3406,4,0,66,0
1,4947,4,0,1,0
24,4086,4,0,1,0
3,3426,4,0,17,0
1,4032,4,0,122,0
3,658,4,0,24,0
3,3031,4,0,34,0
3,273,4,0,0,0
3,6390,4,0,1,0
3,3405,4,0,117,0
3,4236,4,0,22,0
3,177,4,0,0,0
1,4875,4,0,3,0
12,5165,4,0,0,0
3,5744,4,0,5,0
3,3012,4,0,13,0
3,3811,4,0,1,0
3,4964,4,0,6,0
1,93,4,0,1,0
1,2575,4,0,20,0
1,564,4,0,0,0
1,4029,4,0,186,0
3,141,4,0,17,0
3,6012,4,0,0,0
1,4628,4,0,5,0
3,1332,4,0,38,0
3,4899,4,0,31,0
1,4031,4,0,71,0
3,3516,4,0,18,0
8,1821,4,0,0,0
1,1970,4,0,7,0
3,6245,4,0,14,0
3,523,4,0,24,0
3,143,4,0,8,0
3,526,4,0,0,10
2,4547,4,0,2,0
1,2197,4,0,1,0
3,6389,4,0,0,0
1,4210,4,0,0,0
3,3709,4,0,0,0
1,6557,4,0,0,0
3,2860,4,0,20,0
3,2466,4,0,1,0
3,3010,4,0,87,0
1,4209,4,0,0,0
3,3337,4,2,31,0
1,4203,4,0,1,0
3,1396,4,0,7,0
3,2767,4,0,28,0
1,5899,4,0,2,0
3,2599,4,0,123,0
3,1030,4,0,8,0
3,3011,4,0,114,15
3,1490,4,0,12,0
3,1489,4,0,15,0
9,922,4,0,0,0
1,5179,16,0,23,0
1,2575,16,0,30,0
1,5179,20,0,21,0
1,5693,20,0,0,0
1,2081,20,0,0,1
1,2575,20,0,19,0
1,5884,20,0,6,0
1,1794,20,0,0,1
1,3651,20,0,2,0
1,5128,20,0,0,0
2,1230,61,0,1,1
2,1341,61,0,1,0
2,2132,61,0,1,0
6,599,61,0,1,0
6,570,62,0,1,0
6,588,62,0,1,0
2,1230,62,0,6,0
6,599,62,0,1,0
6,668,62,0,1,0
6,2168,62,0,2,0
6,582,62,0,5,0
6,570,63,0,1,0
2,67,64,0,0,1
3,6167,242,0,0,0
3,1332,242,0,4,0
3,2598,242,0,0,0
6,1892,288,0,0,1
12,3640,288,0,1,0
12,4016,288,0,1,0
1,2575,317,0,17,0
1,2575,350,0,10,0
1,5179,350,0,7,0
2,5315,372,0,0,0
2,1073,372,0,0,1
2,1840,372,0,2,6
2,1230,372,0,0,3
2,4051,372,0,6,0
2,1960,372,0,0,4
