sku_group_id,item_quantity,vending_machine_id,warehouse_id
33525,7,23,1
27900,1,3262,1
23637,3,23,1
12441,7,23,1
32598,2,23,1
13744,6,23,1
24838,6,23,1
18105,7,23,1
33526,2,23,1
23151,5,23,1
13743,5,23,1
32599,5,23,1
30485,2,23,1
19502,2,23,1
13743,2,23,1
30940,5,23,1
24185,2,23,1
19500,2,23,1
13744,2,23,1
20523,10,23,1
32179,2,23,1
16037,6,23,1
15209,2,23,1
13116,3,23,1
31322,3,23,1
32599,2,23,1
32597,4,23,1
25610,2,23,1
12327,5,30,1
13744,2,23,1
18105,5,30,1
23151,7,23,1
17952,5,30,1
30940,2,23,1
33527,6,30,1
33526,7,30,1
33528,10,30,1
20852,10,30,1
32597,5,30,1
17952,3,30,1
32598,3,30,1
19501,2,30,1
33525,3,30,1
15194,3,30,1
32597,2,30,1
24843,3,30,1
17952,2,30,1
31322,3,30,1
19500,4,30,1
24838,3,30,1
32597,6,30,1
32599,4,30,1
33528,10,30,1
33527,8,30,1
19502,5,30,1
25609,3,4875,1
30484,3,2151,1
36766,8,2061,1
25610,3,2151,1
25610,8,2062,1
18106,2,915,1
36631,6,4888,1
30820,3,915,1
35133,3,4888,1
38049,3,915,1
36635,3,4888,1
30820,5,2205,1
36637,3,4888,1
22926,4,1723,1
12327,4,4900,1
22124,6,1723,1
23639,5,2062,1
14860,4,1723,1
36088,10,2064,1
33634,5,1723,1
12327,2,1090,1
24865,4,1723,1
20519,7,1090,1
25610,5,1723,1
25610,5,1101,1
19501,5,1723,1
34396,4,1101,1
14172,2,1724,1
32597,3,1118,1
32555,15,1724,1
20848,8,1118,1
34434,18,929,1
18105,6,1118,1
38049,4,3390,1
30485,6,1118,1
18105,5,3390,1
19500,7,1137,1
25609,3,3392,1
13743,5,1137,1
36636,3,3392,1
30485,2,1137,1
33526,3,1782,1
22124,5,2081,1
18105,3,1782,1
13744,6,2081,1
18105,5,1782,1
36036,3,2081,1
32555,9,1782,1
24866,4,1143,1
12854,6,2205,1
32597,4,1143,1
35079,6,2205,1
15209,7,4626,1
21851,3,1579,1
30191,7,4626,1
20519,7,1579,1
38049,8,4626,1
36635,4,1579,1
32599,4,47,1
12327,3,1579,1
12441,5,47,1
39002,3,3392,1
32179,2,47,1
33020,1,47,1
12823,1,47,1
32599,2,47,1
31322,3,47,1
21656,2,47,1
13152,1,47,1
16037,5,47,1
16037,6,47,1
31322,9,47,1
19501,4,47,1
27897,2,47,1
16037,4,47,1
12441,3,47,1
12327,6,47,1
16037,5,47,1
12441,4,47,1
17414,1,47,1
24838,3,47,1
17414,1,47,1
12327,3,47,1
13156,1,47,1
32599,3,47,1
33529,2,47,1
31322,6,47,1
33020,1,47,1
32598,3,47,1
12327,5,47,1
19500,4,47,1
17415,1,47,1
31322,3,47,1
19501,5,47,1
32599,3,47,1
21820,7,47,1
33528,3,47,1
20823,4,47,1
32599,2,47,1
32179,3,47,1
19501,3,47,1
22926,2,47,1
19502,2,47,1
25609,4,47,1
17951,2,47,1
12441,2,47,1
17416,1,47,1
31322,2,47,1
32599,2,50,1
21656,2,47,1
12327,3,50,1
30482,3,50,1
24838,3,50,1
16037,4,50,1
16037,6,50,1
32597,4,50,1
33528,4,50,1
30482,3,50,1
25610,8,50,1
20784,5,50,1
20784,4,50,1
12327,3,50,1
33528,3,50,1
32598,3,50,1
16037,4,50,1
32599,2,50,1
32348,10,50,1
24838,4,50,1
32598,3,50,1
12327,2,50,1
17951,4,50,1
16037,2,50,1
20523,6,50,1
21666,2,50,1
25610,2,50,1
33528,4,50,1
21656,2,50,1
24838,3,50,1
32599,3,50,1
33528,2,50,1
16037,2,50,1
32179,4,50,1
33528,4,50,1
33529,3,50,1
12327,2,50,1
33526,2,50,1
31322,3,50,1
24865,5,50,1
25450,3,50,1
32599,4,50,1
20784,3,50,1
23151,3,50,1
19500,2,50,1
32179,4,50,1
32597,8,50,1
21656,3,50,1
31322,4,50,1
19501,6,50,1
12327,4,50,1
16037,7,61,1
12417,3,61,1
12327,4,61,1
19501,2,61,1
30482,8,61,1
14011,3,61,1
30482,5,61,1
30482,5,61,1
12327,5,61,1
16037,3,61,1
30482,7,61,1
32598,3,61,1
33528,5,61,1
31322,3,61,1
16037,2,61,1
20852,12,61,1
12157,2,61,1
12327,4,61,1
17951,3,61,1
