warehouse ID,cleaned SKU,SUM of Quantity Received
1,12319,2820
1,12327,55500
1,12604,3420
1,12633,7200
1,12670,1500
1,12717,591
1,12793,2880
1,12795,10800
1,12823,864
1,12854,21600
1,13135,29160
1,13151,79
1,13152,381
1,13156,780
1,13330,2376
1,13743,30210
1,13744,28080
1,13745,5040
1,13786,23880
1,13813,2376
1,13860,8700
1,13953,1392
1,14017,33120
1,14167,16740
1,14771,240
1,15209,5760
1,15430,34684
1,15739,3000
1,15751,441
1,15984,1071
1,15985,4278
1,16037,65970
1,17414,866
1,17415,423
1,17417,392
1,17590,100
1,17591,50
1,17621,404
1,17703,1050
1,18083,266
1,18084,479
1,18087,5000
1,18105,52620
1,18106,34920
1,18292,5970
1,18556,3780
1,18581,5400
1,19311,9200
1,19434,8352
1,19435,8040
1,19500,26304
1,19501,32296
1,19502,10800
1,20518,3600
1,20519,27648
1,20523,8640
1,20622,180
1,20784,7180
1,20808,4500
1,20848,64440
1,20850,35712
1,20851,24540
1,20852,48748
1,20853,2880
1,20855,2160
1,21406,1200
1,21559,3240
1,21851,9600
1,21894,4581
1,22556,26640
1,22921,3840
1,22926,28080
1,22935,80
1,22944,6720
1,23260,12800
1,23548,8370
1,23552,4800
1,23637,7200
1,23638,46392
1,23639,47244
1,23640,2700
1,23642,5928
1,23865,180
1,23866,215
1,23867,230
1,23868,1135
1,23869,10
1,23870,180
1,23871,210
1,23872,320
1,23873,64
1,23874,31
1,23875,205
1,23876,10
1,24746,4500
1,24838,4800
1,24841,5400
1,24843,8700
1,24865,10500
1,24866,12000
1,25431,1920
1,25432,1920
1,25451,4248
1,25452,2400
1,25609,40320
1,25610,55440
1,26060,31410
1,26061,13500
1,26628,1200
1,27207,852
1,27658,10800
1,27717,376
1,27897,5760
1,28229,43320
1,28231,2640
1,29903,440
1,29907,492
1,29908,462
1,30169,3672
1,30191,6000
1,30482,14203
1,30484,52320
1,30485,34950
1,30594,15255
1,30820,50550
1,30940,1800
1,30941,3600
1,31091,34560
1,31093,3000
1,31465,190
1,31466,173
1,31467,200
1,31468,189
1,31469,180
1,31473,315
1,31474,524
1,31475,854
1,31476,188
1,31477,175
1,31659,920
1,32018,800
1,32348,14040
1,32555,37926
1,33020,867
1,33021,233
1,33022,900
1,33023,753
1,33339,8280
1,33525,4320
1,33526,4320
1,33527,18720
1,33528,1440
1,33634,1680
1,33635,432
1,33768,11400
1,33769,9600
1,33770,17760
1,33771,7200
1,33772,9840
1,34006,15984
1,34143,1560
1,34163,50
1,34351,10440
1,34396,8400
1,34397,7200
1,34399,2640
1,34411,216
1,34413,696
1,34434,17280
1,34697,5940
1,34824,588
1,34825,600
1,34826,477
1,34827,548
1,35079,12288
1,35224,2250
1,35316,1200
1,35326,7720
1,35371,23400
1,35687,2250
1,36036,7550
1,36038,1
1,36039,1
1,36040,2
1,36041,1
1,36042,1
1,36043,1
1,36044,1
1,36045,1
1,36046,1
1,36047,1
1,36087,6480
1,36088,14960
1,36148,120
1,36305,2160
1,36352,1024
1,36424,720
1,36425,7140
1,36488,7224
1,36509,9200
1,36628,7104
