mvid,mrp,offer_price,zoho_id,vendor_price,variant_id,variant_name,product_id,product_name,brand_id,brand_name
1,1,1,201333000000703164,1,1488,Swashray Chavanu Rs 10,"1,202",Swashray Products,"1,666",Swashray
4,1,1,201333000000030142,1,2121,Test Slot 00,"1,612",Test Slot 1,"2,701",Test Brands
7,48,50,201333000000128069,30,7,Healthy Vegetable Poha,12,Healthy Vegetable Poha,"1,435",Annapurna Tiffin Service
8,60,44,,60,7,Healthy Vegetable Poha,12,Healthy Vegetable Poha,"1,435",Annapurna Tiffin Service
16,20,20,201333000000030182,20,13,Cornitos Nachos - Cheese and Herbs,7,Cornitos Nachos : Cheese and Herbs,"1,474",Cornitos
20,10,10,201333000000030193,9,17,McVities Digestive Rs 10,20,McVities Digestive Rs 10,"1,577",Mcvitie'S
61,69,59,201333000000238019,40,241,Tangy Mix Sauce Macronii,226,Tangy Mix Sauce Macroni,"1,512",Ggn Anaya Kitchen
62,55,49,201333000000733466,30,128,White Sauce Macroni Salad,508,Homestyle Veg Macaroni,"1,511",Generic
63,55,49,201333000000238094,30,244,Dry Manchurian Balls,229,Veggie Manchurian,"1,512",Ggn Anaya Kitchen
64,55,49,201333000000287259,30,66,Kathi Roll,69,Achari Kathi Roll,"1,512",Ggn Anaya Kitchen
65,69,59,201333000000238001,45,24,Rajma-Chawal Combo,27,Rajma-Chawal Combo,"1,511",Generic
66,69,59,201333000000238010,45,785,Choley Chawal Combo,703,Choley Chawal Combo,"1,601",Nda Breakfasttime
169,20,20,201333000000125447,20,109,Real Mixed Fruit Juice Rs 20,107,Real Mixed Fruit Juice,"1,640",Real Juice
242,20,20,201333000002099778,20,146,Real Litchi Juice ,140,Real Lichi Juice,"1,640",Real Juice
288,20,20,201333000000488001,11.67,189,ThumsUp,180,Thums Up,"1,677",Thumsup
294,55,49,201333000003172601,39,101,Aloo Matar Sandwich,99,Aloo Matar Sandwich,"1,435",Annapurna Tiffin Service
311,15,15,201333000000672932,12,204,Saffola masala oats - Tangy Chaat,195,Saffola masala oats - Tangy Chaat,"1,647",Saffola
312,15,15,201333000000672951,12,205,Saffola masala oats - Tandoori Magic,194,Saffola masala oats - Chefs Choice,"1,647",Saffola
317,99,69.8,201333000071450178,85.5,598,Moong Daal & Rice Combo,561,Moong Daal with Rice Combo,"1,511",Generic
350,45,45,201333000000672989,45,236,Go Grub Peanut + Blueberry,221,GO Grub Snack Bar,"1,518",Go Grub
