sku_id,variant_id,mapper_variant_id,mapper_variant_name
0,0,0,Unknown/Unmapped
1,1488,1488,Swashray Chavanu Rs 10
4,2121,493,Test Product
5,0,0,Unknown/Unmapped
7,7,7,Healthy Vegetable Poha
8,7,7,Healthy Vegetable Poha
16,13,13,Cornitos Nachos - Cheese and Herbs
20,17,17,McVities Digestive Rs 10
61,241,241,Tangy Mix Sauce Macronii
62,128,24,Rajma-Chawal Combo
63,244,66,Kathi Roll
64,66,66,Kathi Roll
65,24,24,Rajma-Chawal Combo
66,785,785,Choley Chawal Combo
101,0,0,Unknown/Unmapped
120,0,0,Unknown/Unmapped
169,109,109,Real Mixed Fruit Juice Rs 20
225,0,0,Unknown/Unmapped
232,0,0,Unknown/Unmapped
242,146,109,Real Mixed Fruit Juice Rs 20
288,189,185,Thums UP CHARGED Rs 20
294,101,101,Aloo Matar Sandwich
311,204,204,Saffola masala oats - Tangy Chaat
312,205,204,Saffola masala oats - Tangy Chaat
317,598,598,Moong Daal & Rice Combo
350,236,236,Go Grub Peanut + Blueberry
351,237,236,Go Grub Peanut + Blueberry
357,121,121,Homestyle Veg Mayo Sandwich
358,65,65,Vegetable Chatpati Roll
372,141,141,Crispy Veggie Cutlet 
384,256,256,M&M- Chocolate Rs 75
386,258,258,eighty7- Chilean Walnuts
390,262,262,Monginis Veg Fruit Cakes
391,263,263,Creme Bite- Orange Flavour
400,0,0,Unknown/Unmapped
412,282,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
440,44,44,Vada Pav
445,310,310,Baked Khakhra Chips Methi Flavour
446,311,310,Baked Khakhra Chips Methi Flavour
448,312,300,Himalayan Salt & Pepper Makhana
467,331,331,Britannia Veg Cake Fruity Fun Rs 20
475,338,278,Unibic Chocolate Cookies
487,227,227,Paneer Butter Masala Wrap
496,266,65,Vegetable Chatpati Roll
534,396,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
539,399,278,Unibic Chocolate Cookies
579,0,0,Unknown/Unmapped
581,433,169,Minute Maid Guava Rs 20
582,434,434,Uncle Chips - Spicy Treat
639,0,0,Unknown/Unmapped
648,493,493,Test Product
760,589,395,Too Yum- Multigrain Chips
776,604,282,Too Yumm Veggie Stix Cheese & Herbs Rs 20
956,669,669,Rava Idli with Chutney
957,467,24,Rajma-Chawal Combo
980,784,278,Unibic Chocolate Cookies
999,780,777,Big Box 500ml PP Container 
1016,814,814,Ritebite Sport Bar Almond Mocha
1018,816,278,Unibic Chocolate Cookies
1022,820,766,Amul Rose Lassi Rs 20 
1024,0,0,Unknown/Unmapped
1025,823,799,Mr Makhana Cream & Onion
1026,824,824,Mr Makhana Piri Piri Rs 35
1027,825,825,Amul Masti Buttermilk Rs 12
1035,833,600,Garden Mini Bhakarwadi Rs 10
1067,864,864,LuvIt fruit and nut MRP-55
1101,907,907,Small Box with Lid Transparent 250ml 
1126,928,928,Lifebuoy - Hand Sanitizer
1152,0,0,Unknown/Unmapped
1204,0,0,Unknown/Unmapped
1215,1014,241,Tangy Mix Sauce Macronii
1263,1065,1048,Balaji Wafers Pizzy Masala Rs 10
1265,297,297,Sabudana Khichdi
1266,75,75,Aloo Peanut Falahar - Vrat Special
1275,1073,109,Real Mixed Fruit Juice Rs 20
1301,1097,1097,Eighty 7 Cranberries 200 gm Rs 347
1347,1140,1140,Nutty Gritties Roasted & Salted Pistachios 200g Rs 420
1348,0,0,Unknown/Unmapped
1398,1189,1189,Soulfull Ragi Bites Choco Fills Rs 20
1470,1238,789,Knorr - Sweet Corn Soup Veg Rs.10
1565,1322,941,MTR - Vegetable Upma
1566,1323,941,MTR - Vegetable Upma
1572,1326,130,Choco Chips Cookies
1591,960,493,Test Product
1598,1333,109,Real Mixed Fruit Juice Rs 20
1608,1344,1344,NIDZ Dark Milk Roasted Cashew Chocolate Rs 60
1632,1376,1376,Real Bites Farali Wafers Rs 10
1633,1377,1376,Real Bites Farali Wafers Rs 10
1634,1378,1376,Real Bites Farali Wafers Rs 10
1635,1379,1376,Real Bites Farali Wafers Rs 10
1636,1380,430,Haldiram's Moong Dal Rs 10 
1637,1381,95,Parle Appy Rs 10
1638,1383,1383,Nestle Kitkat Rs 10
1639,331,331,Britannia Veg Cake Fruity Fun Rs 20
1640,1026,678,Britannia Bourbon-Rs 10
1641,663,331,Britannia Veg Cake Fruity Fun Rs 20
1643,769,769,Cadbury Dairy Milk Rs.10
1644,794,678,Britannia Bourbon-Rs 10
1645,1475,430,Haldiram's Moong Dal Rs 10 
1647,94,94,Maaza Tetrapack Rs 10
1648,575,575,Frooti Rs 10
